Product Name,Current Date,Current Price,Old Date,Old Price,Category
Kotex Ultra Süper Eko Gece 16'lı Ped,09/06/2023,45,10/06/2022,29,hijyenik-pedler-ve-tamponlar
Philips DLP1710CW Beyaz 10000 mAh Powerbank,09/06/2023,229,10/06/2022,179,tasinabilir-sarj-cihazi-powerbank
JBL C100SI Siyah Kablolu Kulaklık,09/06/2023,129,10/06/2022,129,kulaklik
JBL T500 Mavi Kablolu Kulaküstü Kulaklık,09/06/2023,899,13/06/2022,319,kulaklik
JBL Quantum 100 Siyah Gaming Kablolu Kulaklık,09/06/2023,749,11/06/2022,435,oyuncu-kulakliklari
Neutrogena El Kremi Parfümlü - 75 ml,09/06/2023,24,15/06/2022,17,el-bakimi
Sebamed Sun Cream 75 ml Spf50+ Çok Yönlü Koruyucu Güneş Kremi,09/06/2023,196,10/06/2022,119,gunes-kremleri-ve-losyonlari
Penguen PNG-1050 Termos,09/06/2023,265,10/06/2022,168,termoslar
Garnier Saf Temiz Micellar 400 ml Kusursuz Makyaj Temizleme Suyu,09/06/2023,47,23/06/2022,34,makyaj-temizleyicileri
Bioderma Sebium Foaming 500 ml Makyaj Temizleme ve Nemlendirme Jeli,09/06/2023,248,10/06/2022,146,dermokozmetik-urunler
Bepanthol 7.5 ml Dudak Bakım Kremi,09/06/2023,51,10/06/2022,24,dudak-bakimi-koruyucu
Santavik 10 Adet Güçlü Yapışkan Yara Bandı,09/06/2023,2,10/06/2022,1,yara-bandi
Post-İt 654 76x76 100 Yp Sarı Not Kağıdı,09/06/2023,26,10/06/2022,14,not-defteri-bloknot
3M Post-it 2007A Yapışkanlı Not Kağıdı,09/06/2023,150,17/07/2022,48,not-defteri-bloknot
Apple 888462786713 1. Nesil Pencil,09/06/2023,2819,21/06/2022,1669,cep-telefonu-kalemi
Clear Men Cool Sport Menthol 600 ml Şampuan,09/06/2023,79,13/06/2022,44,sampuan-ve-sac-kremi
Ogx 385 Ml Argan Oil Of Morocco Ekstra Güçlü Nemlendirici Ve Canlandırıcı Şampuan,09/06/2023,134,10/06/2022,76,sampuan-ve-sac-kremi
Rotring 500 0.7 mm Siyah Mekanik Kurşun Kalem,09/06/2023,204,09/06/2022,129,mekanik-kursun-versatil-kalem
Monopoly F2725 La Casa De Papel,09/06/2023,439,02/07/2022,503,zeka-oyunlari
